timestamp,action,side,price,qty
10:00:000,ADD,BID,149.90,10
10:00:000,ADD,ASK,150.10,10
10:00:001,ADD,BID,149.87,10
10:00:001,ADD,ASK,150.07,10
10:00:002,ADD,BID,149.85,10
10:00:002,ADD,ASK,150.05,10
10:00:003,ADD,BID,149.84,10
10:00:003,ADD,ASK,150.04,10
10:00:004,ADD,BID,149.88,10
10:00:004,ADD,ASK,150.08,10
10:00:005,ADD,BID,149.90,10
10:00:005,ADD,ASK,150.10,10
10:00:006,ADD,BID,149.94,10
10:00:006,ADD,ASK,150.14,10
10:00:007,ADD,BID,149.93,10
10:00:007,ADD,ASK,150.13,10
10:00:008,ADD,BID,149.89,10
10:00:008,ADD,ASK,150.09,10
10:00:009,ADD,BID,149.85,10
10:00:009,ADD,ASK,150.05,10
10:00:010,ADD,BID,149.86,10
10:00:010,ADD,ASK,150.06,10
10:00:011,ADD,BID,149.89,10
10:00:011,ADD,ASK,150.09,10
10:00:012,ADD,BID,149.90,10
10:00:012,ADD,ASK,150.10,10
10:00:013,ADD,BID,149.85,10
10:00:013,ADD,ASK,150.05,10
10:00:014,ADD,BID,149.89,10
10:00:014,ADD,ASK,150.09,10
10:00:015,ADD,BID,149.91,10
10:00:015,ADD,ASK,150.11,10
10:00:016,ADD,BID,149.91,10
10:00:016,ADD,ASK,150.11,10
10:00:017,ADD,BID,149.87,10
10:00:017,ADD,ASK,150.07,10
10:00:018,ADD,BID,149.85,10
10:00:018,ADD,ASK,150.05,10
10:00:019,ADD,BID,149.89,10
10:00:019,ADD,ASK,150.09,10
10:00:020,ADD,BID,149.85,10
10:00:020,ADD,ASK,150.05,10
10:00:021,ADD,BID,149.80,10
10:00:021,ADD,ASK,150.00,10
10:00:022,ADD,BID,149.81,10
10:00:022,ADD,ASK,150.01,10
10:00:023,ADD,BID,149.81,10
10:00:023,ADD,ASK,150.01,10
10:00:024,ADD,BID,149.85,10
10:00:024,ADD,ASK,150.05,10
10:00:025,ADD,BID,149.86,10
10:00:025,ADD,ASK,150.06,10
10:00:026,ADD,BID,149.91,10
10:00:026,ADD,ASK,150.11,10
10:00:027,ADD,BID,149.89,10
10:00:027,ADD,ASK,150.09,10
10:00:028,ADD,BID,149.93,10
10:00:028,ADD,ASK,150.13,10
10:00:029,ADD,BID,149.91,10
10:00:029,ADD,ASK,150.11,10
10:00:030,ADD,BID,149.91,10
10:00:030,ADD,ASK,150.11,10
10:00:031,ADD,BID,149.87,10
10:00:031,ADD,ASK,150.07,10
10:00:032,ADD,BID,149.90,10
10:00:032,ADD,ASK,150.10,10
10:00:033,ADD,BID,149.89,10
10:00:033,ADD,ASK,150.09,10
10:00:034,ADD,BID,149.90,10
10:00:034,ADD,ASK,150.10,10
10:00:035,ADD,BID,149.93,10
10:00:035,ADD,ASK,150.13,10
10:00:036,ADD,BID,149.90,10
10:00:036,ADD,ASK,150.10,10
10:00:037,ADD,BID,149.91,10
10:00:037,ADD,ASK,150.11,10
10:00:038,ADD,BID,149.91,10
10:00:038,ADD,ASK,150.11,10
10:00:039,ADD,BID,149.87,10
10:00:039,ADD,ASK,150.07,10
10:00:040,ADD,BID,149.86,10
10:00:040,ADD,ASK,150.06,10
10:00:041,ADD,BID,149.89,10
